DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP
1/1/2017,50.7,38.8,1014.1,13.3,10,12,20,28.9,54,44.1,0
1/2/2017,47.4,39.5,1015.6,14.9,9.8,7.9,19,999.9,54,44.1,0.05
1/3/2017,49.9,44.6,1016.9,16.5,8.5,8,17.1,22.9,53.1,44.1,0.26
1/4/2017,55.5,51.2,1012.9,12.2,7.5,15.5,33,42.9,59,48,0.75
1/5/2017,48.1,39.5,1016.1,15.4,8.6,7.1,14,999.9,59,44.1,0.3
1/6/2017,44,29.1,1019.2,18.6,10,6.8,12,999.9,51.1,37.9,0
1/7/2017,51,43.1,1015.1,14.2,7.7,10.1,28.9,38.1,62.1,37.9,0.11
1/8/2017,59.5,55,1013.2,12.5,6,17.8,38.1,53,64,44.1,1.15
1/9/2017,57.9,51.1,1014.9,14.3,9,12.8,22.9,35.9,64,53.1,0.97
1/10/2017,57,51.3,1014.9,14.4,6.9,15.1,29.9,42.9,61,53.1,0.41
1/11/2017,55.2,48.2,1010.4,9.2,8.8,15.6,32.1,41,60.1,52,1.57
1/12/2017,49.3,42.1,1012.8,12,9.4,6.1,11.1,999.9,57.9,46,0.15
1/13/2017,47.6,41.3,1019.3,18.3,9.6,3.2,8.9,999.9,57,39.9,0.19
1/14/2017,48.2,40.5,1022.7,22.1,10,4,12,999.9,57.9,39.9,0
1/15/2017,48.1,42.4,1020.8,20.3,9.1,4.2,13,999.9,57.9,39.9,0
1/16/2017,48.1,40,1020.8,20.1,9.3,5.5,13,999.9,54,41,0
1/17/2017,47.4,40.4,1019.8,19.2,9.1,3.7,9.9,999.9,54,41,0
1/18/2017,50.3,44.7,1017.3,16.9,7.8,7.6,22,999.9,52,41,0
1/19/2017,53.9,46.7,1009.6,9,8.4,12,34,44.1,57.9,48.9,0.9
1/20/2017,51.8,44.9,999.8,999.2,9,10.8,33,42.9,55.9,45,0.37
1/21/2017,51.6,42.8,1003.9,2.2,9.5,10.6,22,35,55.9,46.4,0.89
1/22/2017,52.7,44.4,1007.6,6.6,8.7,12.3,26,39,57,48,0.3
1/23/2017,48.8,41.8,1007.9,7.2,9.3,5.2,12,22.9,57,45,0.72
1/24/2017,46.9,39.8,1014.5,13.9,10,5,11.1,999.9,54,41,0.24
1/25/2017,48.1,40.8,1024.4,23.7,10,3.9,12,999.9,55.9,41,0
1/26/2017,48.5,41.4,1029.4,28.8,10,3.7,8.9,999.9,55.9,41,0
1/27/2017,49.6,38.4,1032.9,32.3,9.8,3.8,8.9,999.9,57.9,41,0
1/28/2017,49.1,39.4,1034.7,34,10,4.4,11.1,999.9,57.9,41,0
1/29/2017,50.1,41,1031.2,30.6,9.7,2.8,5.1,999.9,60.1,41,0
1/30/2017,50.2,42.8,1024.9,24.6,10,2.1,6,999.9,60.1,41,0
1/31/2017,50.2,42.3,1020.4,20,8.9,1.1,4.1,999.9,60.1,42.1,0
2/1/2017,51.9,45.5,1015.9,14.5,7.5,2,11.1,999.9,59,42.1,0
2/2/2017,54.6,48.3,1014,13.3,9.2,9.4,15,17.1,62.1,46.9,0.07
2/3/2017,59.1,52.8,1012.7,999.9,9.6,12.6,26,36.9,62.1,51.1,0.18
2/4/2017,57.2,51.8,1017.9,18,8.7,7.1,13,999.9,61,55,0.39
2/5/2017,54.6,48.5,1016,15.4,10,7.2,17.1,24.1,61,50,0.14
2/6/2017,57.8,51.9,1009,8.3,7.7,10.7,25.1,36.9,61,50,0.17
2/7/2017,59.8,55.2,1011.4,9.9,6.9,18.2,33,45.1,63,55,0.62
2/8/2017,59.8,56.7,1017.6,17,8.2,7,14,20,64,55,0.87
2/9/2017,62.2,55.7,1015.3,14.6,8.8,13.7,24.1,36.9,64,55.9,0.18
2/10/2017,58.3,53,1015.4,14.6,8.3,6.6,12,15,64,55.9,0.7
2/11/2017,52.8,43.1,1021.1,20.4,10,8.7,17.1,21,62.1,46.9,0.06
2/12/2017,52.9,43.7,1023.1,22.5,10,5.2,15,999.9,64,44.1,0
2/13/2017,51.8,45.8,1021.3,20.7,9.8,5.7,17.1,999.9,64,44.1,0
2/14/2017,55.4,48.1,1019.7,19.1,10,4.7,14,999.9,66,46,0
2/15/2017,56.7,48.9,1018.7,18.1,10,4.7,14,999.9,66,48,0
2/16/2017,60.3,49.7,1013.7,13.1,9.1,12.2,21,34,64,51.1,0.19
2/17/2017,56.6,50.9,999.9,999.2,8.7,9.4,21,29.9,64,54,0.29
2/18/2017,54.5,48.7,996.1,994.9,9.2,13.1,26,33,59,52,0.94
